A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
0.0,0.0,#,1.0,0.0,1.0,0.0,#,0.0,#,0.0,1.0,0.047322985736720655,435.2,392.53333333333336,1.0730434023774324e-09,1,17.2352,4816,802,0.7272727272727273,0.0004716642786450833,8,16
1.0,1.0,0.0,#,#,#,#,#,0.0,1.0,#,1.0,0.1439733182190851,1000.0,0.0,1.0,3,31.748666598905793,4933,812,0.45454545454545453,0.002606534057507221,101,131
0.0,#,0.0,#,#,0.0,1.0,#,#,0.0,0.0,1.0,0.026427032523949873,376.48674159329283,401.1903577734075,9.62160595806145e-10,2,24.480546551418062,4880,826,0.5454545454545454,0.001339885737329649,20,65
#,#,#,0.0,0.0,1.0,1.0,0.0,#,1.0,1.0,0.0,0.004308971060785909,449.81037629440004,431.54045381290666,6.681783970193038e-10,1,17.4214835142656,4989,893,0.6363636363636364,0.00047676217593548644,17,33
1.0,0.0,1.0,0.0,#,1.0,#,0.0,1.0,#,1.0,0.0,0.25789749708131177,0.0,0.0,1.0,2,18.4,4989,893,0.7272727272727273,0.0010070811742329108,6,16
#,#,0.0,#,1.0,0.0,#,1.0,0.0,0.0,0.0,0.0,0.016551516046334522,730.1660154698138,345.75716571799006,2.0236903114876355e-09,1,16.470192418299575,4196,927,0.6363636363636364,0.00045072882392562836,21,31
1.0,1.0,0.0,#,0.0,#,#,#,#,1.0,0.0,0.0,0.3477176720714686,0.0,0.0,1.0,1,24.0411136,4389,931,0.5454545454545454,0.0006579171987542066,11,63
#,#,1.0,0.0,0.0,#,#,0.0,0.0,1.0,1.0,0.0,0.006283251387986707,670.8384768,390.7321582933333,1.0980047492211718e-09,1,18.944974028799997,4733,949,0.6363636363636364,0.0005184545296395626,14,30
#,0.0,1.0,0.0,0.0,#,#,0.0,#,0.0,#,1.0,0.08696095085977108,369.508864,361.3855744,1.6223551690250295e-09,2,16.946213888000003,4646,961,0.5454545454545454,0.0009275115750613645,13,61
#,0.0,1.0,0.0,#,1.0,#,0.0,1.0,1.0,#,1.0,0.008646415683704282,844.17636352,268.28725725866667,7.194486000002541e-09,1,15.608409395200002,4484,968,0.6363636363636364,0.00042714497993548965,15,31
1.0,0.0,#,1.0,1.0,#,#,#,0.0,#,0.0,1.0,0.012224049950861321,631.5017773056,407.62765366613337,8.885498636039267e-10,1,20.581185511424,4910,990,0.5454545454545454,0.0005632316432595178,17,61
1.0,#,1.0,0.0,0.0,#,1.0,#,0.0,0.0,#,0.0,0.013000009044515079,717.284130816,289.5461122048,4.9137302388403536e-09,1,19.996770778139854,4831,994,0.6363636363636364,0.000547238353155311,20,30
1.0,#,0.0,1.0,1.0,0.0,#,#,1.0,1.0,#,1.0,0.02757054413496925,811.6020224,273.05377791999996,6.588082838634347e-09,1,24.7092016128,4787,1002,0.6363636363636364,0.0006762003199613142,14,30
1.0,1.0,0.0,#,#,#,#,#,#,0.0,1.0,1.0,0.8400882847530796,0.0,0.0,1.0,13,24.49969396525902,4934,1005,0.45454545454545453,0.008716069221995658,49,125
1.0,0.0,0.0,0.0,#,#,0.0,1.0,#,#,#,1.0,0.20422137140322807,1000.0,0.0,1.0,1,23.940632182443675,4637,1017,0.5454545454545454,0.0006551673904938477,41,58
0.0,#,0.0,#,#,0.0,#,#,#,0.0,0.0,1.0,0.005527822585867569,538.1126092456736,428.1643645294333,6.94940153806149e-10,1,22.18499715689977,4923,1054,0.45454545454545453,0.007468941746225941,36,124
1.0,#,#,1.0,0.0,1.0,#,0.0,0.0,1.0,#,1.0,0.005309097211452541,686.73234944,393.99583470933334,1.0532751728219931e-09,1,25.12630284288,4969,1093,0.6363636363636364,0.000687614852476612,15,30
#,0.0,1.0,#,#,0.0,1.0,#,1.0,1.0,#,1.0,0.01648181865729116,837.3001218879765,256.06868186903716,9.082756480448016e-09,1,20.510173430363796,4648,1109,0.5454545454545454,0.0005612883027709626,44,61
0.0,#,0.0,0.0,1.0,0.0,#,1.0,#,#,1.0,0.0,0.1091994317102758,1000.0,0.0,1.0,1,18.18012347602305,4946,1112,0.6363636363636364,0.0004975233722264294,21,29
0.0,1.0,1.0,1.0,#,0.0,#,#,1.0,#,0.0,1.0,0.010741223824189369,709.5493632,374.4895249066667,1.3576931556502156e-09,1,25.8234766336,4592,1121,0.6363636363636364,0.000706693944862555,14,30
#,1.0,1.0,#,1.0,#,#,1.0,1.0,#,1.0,0.0,0.010830503189357514,571.7156306944,417.4626359432533,7.887001891335932e-10,1,18.4029715341312,4820,1154,0.5454545454545454,0.0005036219071186871,17,61
1.0,1.0,0.0,0.0,#,#,0.0,0.0,0.0,1.0,#,1.0,0.04684568599447759,1000.0,0.0,1.0,1,35.75980544,4703,1189,0.7272727272727273,0.0009786148601319466,12,14
#,0.0,#,1.0,#,#,0.0,1.0,1.0,#,0.0,0.0,0.014288150046864219,158.9237645312,231.25300871168,1.512039166457458e-08,1,23.52460137283584,4775,1224,0.5454545454545454,0.0006437821514651268,18,60
#,0.0,#,0.0,0.0,0.0,#,0.0,0.0,#,1.0,1.0,0.3346746371815487,0.0,0.0,1.0,1,19.0,4777,1237,0.6363636363636364,0.0005199603888702529,5,28
0.0,#,#,#,0.0,#,1.0,1.0,1.0,1.0,1.0,0.0,0.09963063734784045,573.76,390.74133333333333,1.0978758434267564e-09,2,22.16768,4887,1248,0.6363636363636364,0.001213296369805403,9,26
#,0.0,0.0,#,0.0,#,#,#,0.0,0.0,1.0,0.0,0.006177582546700996,659.8238626832982,302.3582765648774,3.957224543176262e-09,1,15.31065858942561,4957,1283,0.5454545454545454,0.004612422752970829,29,59
#,1.0,0.0,0.0,#,1.0,#,#,#,1.0,#,0.0,0.6910006222108254,0.0,0.0,1.0,11,19.659996185664358,4968,1287,0.45454545454545453,0.005918242730565422,37,113
1.0,0.0,1.0,0.0,#,1.0,1.0,1.0,#,0.0,#,1.0,0.017156880735197336,584.0,375.46666666666664,1.340118074318883e-09,1,20.544,4558,1288,0.7272727272727273,0.000562214012050025,7,15
#,1.0,1.0,1.0,#,0.0,#,0.0,0.0,1.0,0.0,0.0,0.1443639310755953,800.0,160.0,9.5367431640625e-08,1,23.735999999999997,4920,1349,0.7272727272727273,0.0006495673573802275,7,11
#,0.0,0.0,#,1.0,0.0,#,1.0,0.0,1.0,0.0,1.0,0.01999967657068346,918.08,170.66666666666663,6.906475391588182e-08,1,19.87616,4953,1369,0.7272727272727273,0.0005439376780445982,9,14
#,1.0,0.0,1.0,1.0,0.0,1.0,#,#,0.0,#,1.0,0.15495256439113544,0.0,0.0,1.0,1,24.030976,4597,1424,0.6363636363636364,0.0006576397697837745,10,26
1.0,0.0,#,1.0,#,#,#,1.0,0.0,0.0,0.0,1.0,0.1397610564364476,626.24,362.496,1.5976583247239875e-09,1,21.17504,4574,1428,0.6363636363636364,0.000579483264881219,9,27
0.0,1.0,0.0,#,1.0,0.0,1.0,#,#,0.0,#,1.0,0.15309064937042177,0.0,0.0,1.0,1,28.03968,4880,1429,0.6363636363636364,0.000767343311399866,9,29
0.0,0.0,#,0.0,#,1.0,1.0,#,#,#,0.0,1.0,0.02996597408672112,389.1334310684262,395.0352661797492,1.0394908198929823e-09,1,17.335200137214688,4812,1436,0.5454545454545454,0.0004744009160257796,21,57
#,0.0,0.0,0.0,0.0,0.0,#,0.0,#,#,0.0,1.0,0.17615455698377933,0.0,0.0,1.0,1,27.176,4090,1503,0.6363636363636364,0.0007437075541019997,7,23
1.0,0.0,#,#,#,#,#,1.0,1.0,#,#,0.0,0.669901151829235,0.0,0.0,1.0,14,28.569423742610137,4984,1533,0.36363636363636365,0.010945766395057498,53,207
#,1.0,0.0,0.0,#,1.0,1.0,#,#,1.0,#,0.0,0.18027806791707737,0.0,0.0,1.0,1,25.50376026112,4197,1537,0.5454545454545454,0.0006979444791066137,15,55
#,0.0,#,#,0.0,0.0,1.0,0.0,#,#,0.0,1.0,0.01575185216000495,566.7777421312001,426.01275260928,7.126675770053005e-10,1,15.3252019617792,4897,1541,0.5454545454545454,0.00041939463008220404,17,54
0.0,1.0,0.0,0.0,#,1.0,#,#,#,1.0,#,0.0,0.17397738720222275,0.0,0.0,1.0,1,20.68377522176,4968,1542,0.5454545454545454,0.0005660391477690123,15,51
#,1.0,1.0,#,1.0,#,#,1.0,1.0,0.0,1.0,0.0,0.03820288357898967,692.8,356.6933333333333,1.7319088767534843e-09,1,25.944,4669,1546,0.6363636363636364,0.0007099922278342022,8,26
1.0,1.0,0.0,#,#,0.0,#,#,0.0,1.0,#,1.0,0.046743355284413514,1000.0,0.0,1.0,1,29.37498538949955,4871,1588,0.5454545454545454,0.0008038857276937992,39,56
0.0,#,0.0,#,1.0,0.0,#,#,#,0.0,0.0,1.0,0.010741386340887421,517.5981408256,430.65136272725334,6.751042949707565e-10,1,23.6440681938944,4880,1605,0.5454545454545454,0.0006470515206616901,17,47
1.0,#,1.0,0.0,1.0,#,#,1.0,#,0.0,0.0,1.0,0.007555599966814828,620.17792,408.9173333333333,8.746260335586741e-10,1,22.46383616,4343,1642,0.6363636363636364,0.0006147528939616447,12,26
1.0,0.0,0.0,1.0,#,1.0,#,#,0.0,1.0,#,0.0,0.014834650488960259,747.5712000000001,269.2266666666667,7.069840714630486e-09,1,16.217612799999998,4926,1660,0.6363636363636364,0.0004438166451597469,11,22
0.0,#,1.0,1.0,#,#,0.0,#,#,0.0,#,1.0,0.006059459540382356,469.47447265532765,383.04710588587983,1.2126600577244093e-09,1,17.250065397365212,4816,1671,0.45454545454545453,0.005297984052542208,46,109
1.0,1.0,0.0,0.0,0.0,1.0,#,#,#,1.0,#,0.0,0.14949947496998178,0.0,0.0,1.0,1,23.539456,4700,1679,0.6363636363636364,0.0006441886681870637,10,27
#,#,1.0,#,1.0,1.0,1.0,0.0,1.0,#,#,1.0,0.015953432177279486,995.4964003726295,18.915118434956064,0.004130043970305564,1,16.77301411635827,4815,1685,0.5454545454545454,0.0004590159443404151,33,50
1.0,1.0,0.0,#,0.0,1.0,#,#,#,1.0,1.0,1.0,0.07526548588545523,1000.0,0.0,1.0,1,35.559186931712006,4133,1702,0.6363636363636364,0.0009731246665748943,16,25
1.0,1.0,0.0,1.0,#,1.0,1.0,#,0.0,1.0,#,1.0,0.0528049752235055,1000.0,0.0,1.0,1,34.586176,4933,1702,0.7272727272727273,0.0009464969222365795,10,12
1.0,#,0.0,0.0,#,#,1.0,1.0,0.0,0.0,0.0,0.0,0.09306065562489144,416.0,354.1333333333333,1.7954196064349391e-09,1,19.704,3566,1715,0.7272727272727273,0.0005392262895947086,7,12
0.0,#,1.0,#,1.0,1.0,1.0,1.0,#,1.0,#,1.0,0.10933549266095097,1000.0,0.0,1.0,1,27.10946122072064,4238,1729,0.6363636363636364,0.000741886631494155,18,26
0.0,1.0,0.0,#,0.0,1.0,0.0,#,1.0,#,#,1.0,0.49367666721301245,1000.0,0.0,1.0,1,12.42301519872,4246,1738,0.6363636363636364,0.00033997241124565864,15,25
1.0,1.0,0.0,0.0,#,#,0.0,0.0,0.0,0.0,#,0.0,0.14860822032223192,1000.0,0.0,1.0,1,23.16,2360,1740,0.7272727272727273,0.000633804347696582,6,11
#,0.0,1.0,#,#,0.0,1.0,#,#,#,0.0,1.0,0.01337799447893496,698.7787798816807,339.31741425765694,2.223152505730557e-09,2,17.18387136058749,4927,1742,0.45454545454545453,0.009561890866632,52,103
#,0.0,0.0,#,0.0,0.0,#,0.0,#,0.0,0.0,1.0,0.03363336943859299,500.0,250.0,1.0240000000000001e-08,1,26.5,4740,1746,0.6363636363636364,0.0007252079107927213,2,24
1.0,#,#,0.0,1.0,0.0,#,#,1.0,0.0,0.0,1.0,0.006213461309884611,674.17088,351.5398826666667,1.862631669575062e-09,1,25.3367296,4421,1787,0.6363636363636364,0.0006933734618692868,12,25
0.0,1.0,1.0,#,0.0,#,1.0,#,#,#,#,1.0,0.17537276298068055,1000.0,0.0,1.0,3,27.506803974017906,4687,1807,0.45454545454545453,0.0022582813406697108,67,96
1.0,0.0,#,0.0,0.0,0.0,#,0.0,#,0.0,#,1.0,0.03417911326771568,333.33333333333337,277.77777777777777,6.0466176e-09,1,27.333333333333332,4244,1829,0.6363636363636364,0.0007480131910063288,3,23
#,1.0,0.0,0.0,#,1.0,1.0,1.0,#,#,1.0,0.0,0.034905540747222116,466.24,372.992,1.3851678871605599e-09,1,18.56384,4290,1891,0.6363636363636364,0.0005080242876486924,9,22
1.0,0.0,1.0,1.0,#,#,#,#,1.0,#,#,0.0,0.47560450703746426,0.0,0.0,1.0,1,16.207130833363927,4771,1926,0.45454545454545453,0.00044352979213615654,21,95
1.0,0.0,0.0,#,#,#,#,1.0,0.0,#,1.0,1.0,0.6080180291378063,1000.0,0.0,1.0,2,14.421289352187003,4961,1929,0.5454545454545454,0.0007893157073235361,34,47
0.0,#,1.0,#,#,#,0.0,1.0,#,0.0,1.0,1.0,0.009236367860039667,362.905056083968,393.01874631311364,1.0664332323898686e-09,1,16.104318293639167,4774,1948,0.5454545454545454,0.00044071618960268155,19,48
0.0,#,#,1.0,#,0.0,#,#,0.0,1.0,1.0,0.0,0.00671598214788373,798.985555968,306.21450458453336,3.7142506561831774e-09,1,14.496543760384,4650,1954,0.5454545454545454,0.0003967172911012581,16,47
1.0,1.0,0.0,#,0.0,#,0.0,#,#,0.0,#,0.0,0.1147642050602264,1000.0,0.0,1.0,1,18.81228220356248,4188,1973,0.5454545454545454,0.0005148232405316467,31,46
#,0.0,#,#,#,1.0,0.0,1.0,1.0,#,0.0,0.0,0.008845401950307665,432.31618531328,425.47681462408536,7.171673409835001e-10,1,18.395371380408317,4756,1981,0.5454545454545454,0.0005034139187563069,18,47
1.0,#,1.0,0.0,0.0,#,0.0,1.0,1.0,#,#,0.0,0.025147673176992593,361.472,392.5333333333333,1.0730434023774334e-09,1,13.759488000000001,4212,1981,0.6363636363636364,0.00037654677532292523,10,23
1.0,1.0,#,0.0,1.0,#,#,1.0,1.0,#,#,0.0,0.008155341912767207,779.1468152422401,340.39842506888533,2.1880754314100405e-09,1,16.49773963821056,4986,1989,0.5454545454545454,0.00045148269040863945,18,43
0.0,1.0,0.0,1.0,#,0.0,#,1.0,#,1.0,#,0.0,0.44279149736109624,1000.0,0.0,1.0,3,11.4533758976,4999,1992,0.6363636363636364,0.0009403108082515705,14,23
0.0,#,0.0,0.0,#,0.0,#,#,#,#,#,1.0,0.6529224001363843,0.0,0.0,1.0,11,27.150175522540735,4987,2015,0.36363636363636365,0.008173009160450261,49,181
#,0.0,1.0,#,1.0,#,0.0,#,#,1.0,1.0,1.0,0.0758045174613911,923.46888372224,150.95014883328,1.2759459336611454e-07,2,18.022415307363893,4689,2026,0.5454545454545454,0.0009864149549050662,29,46
1.0,0.0,#,1.0,0.0,#,#,0.0,1.0,#,1.0,0.0,0.00791342930609,664.7424,388.81962666666664,1.125276127057678e-09,1,14.3828992,3819,2041,0.6363636363636364,0.0003936072558480869,11,18
#,0.0,0.0,0.0,#,#,#,0.0,#,1.0,#,0.0,0.5883385321940529,1000.0,0.0,1.0,7,19.53422943441176,4862,2042,0.45454545454545453,0.0037420620384727554,66,92
1.0,#,#,0.0,1.0,1.0,#,#,1.0,1.0,0.0,0.0,0.0024932086390295873,364.8,378.4533333333333,1.2880666214305135e-09,1,21.5488,4756,2048,0.6363636363636364,0.0005897117067203846,8,20
#,0.0,#,#,#,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.004312733671406203,625.4351359999999,408.84456106666664,8.754047057885898e-10,1,18.736662528000004,4720,2055,0.6363636363636364,0.0005127538070626094,13,26
0.0,0.0,#,1.0,#,1.0,#,1.0,#,#,1.0,0.0,0.02614442724395379,107.47903999999998,199.753728,3.1443112788114316e-08,1,22.21131264,4744,2059,0.5454545454545454,0.0006078422504006928,12,42
#,0.0,0.0,1.0,#,#,#,1.0,#,#,#,0.0,0.46761783581496985,0.0,0.0,1.0,7,23.690190337214695,4984,2059,0.36363636363636365,0.004538196003212591,54,183
#,1.0,#,1.0,#,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.047182910005542145,500.0,250.0,1.0240000000000001e-08,1,17.0,3083,2068,0.7272727272727273,0.00046522771635759474,2,11
#,#,0.0,#,#,0.0,#,0.0,1.0,0.0,0.0,1.0,0.03268216915503113,381.47483648,298.94967296,4.188028097778813e-09,1,20.1088178176,4740,2070,0.5454545454545454,0.0005503046701137035,15,44
1.0,0.0,#,#,#,1.0,1.0,0.0,#,0.0,#,0.0,0.009524281264365969,879.7719153766564,231.79891992753596,1.494317766133005e-08,1,20.207141250056548,4604,2086,0.5454545454545454,0.0005529954222281859,34,47
0.0,0.0,0.0,1.0,0.0,1.0,#,#,#,1.0,#,0.0,0.09913988771313363,0.0,0.0,1.0,1,23.44,4581,2098,0.6363636363636364,0.0006414669218483542,6,20
1.0,0.0,#,#,#,#,#,1.0,1.0,#,1.0,0.0,0.05587500163064399,0.0,0.0,1.0,1,27.183356817147576,4978,2106,0.45454545454545453,0.0007439088832338366,26,92
0.0,#,0.0,0.0,#,0.0,#,#,#,#,1.0,0.0,0.5204526010615614,1000.0,0.0,1.0,5,16.355338739661924,4946,2107,0.45454545454545453,0.0022379284976787703,69,91
0.0,0.0,#,#,1.0,1.0,1.0,1.0,#,#,0.0,1.0,0.08960134757303485,916.11392,174.06361599999997,6.258352102044214e-08,1,15.72609024,4238,2109,0.6363636363636364,0.0004303654735052152,12,23
0.0,#,0.0,0.0,#,1.0,1.0,#,1.0,0.0,#,1.0,0.024979767324941914,492.8,393.81333333333333,1.0557179851404687e-09,1,18.6416,4812,2109,0.6363636363636364,0.0005101522939559846,8,25
1.0,0.0,0.0,#,1.0,1.0,#,1.0,1.0,#,#,0.0,0.03671563369507972,0.0,0.0,1.0,1,32.8,3637,2132,0.6363636363636364,0.0008976158292075945,5,23
1.0,0.0,1.0,#,#,#,#,#,0.0,#,#,0.0,0.7436376759736271,1000.0,0.0,1.0,10,20.58234439508565,4941,2138,0.36363636363636365,0.0056326335765948445,140,179
#,0.0,0.0,1.0,#,0.0,0.0,1.0,#,#,#,0.0,0.15544293602466863,0.0,0.0,1.0,2,27.1686757376,4775,2148,0.5454545454545454,0.0014870142317486635,14,46
1.0,1.0,#,0.0,1.0,#,0.0,1.0,#,#,#,1.0,0.013049884554530575,838.8472905728,289.74201700352,4.897140955449468e-09,1,21.6557655597056,4536,2150,0.5454545454545454,0.0005926389621951345,17,42
0.0,0.0,#,1.0,0.0,1.0,#,#,#,0.0,#,0.0,0.005613314847612161,578.0921011971031,420.1313445100563,7.639669666321888e-10,1,19.174708039150733,4957,2152,0.5454545454545454,0.006357160094067729,22,47
#,0.0,1.0,#,1.0,1.0,1.0,1.0,#,0.0,#,1.0,0.2677396986161715,840.0,160.0,9.5367431640625e-08,3,16.7744,4328,2166,0.6363636363636364,0.0013771616126945006,8,20
0.0,#,1.0,1.0,#,#,0.0,#,#,0.0,0.0,1.0,0.015123675663364474,226.48360009727998,338.02303237870933,2.2660450141937862e-09,2,18.81392774709248,4816,2169,0.5454545454545454,0.0010297365460584262,18,49
0.0,0.0,1.0,#,1.0,#,1.0,#,#,1.0,#,1.0,0.3156172505463226,1000.0,0.0,1.0,2,16.25870029876345,4667,2190,0.5454545454545454,0.000889882118933678,32,47
#,0.0,0.0,#,#,#,1.0,0.0,1.0,0.0,#,0.0,0.035880312923911015,954.4190776012236,108.52345332600959,6.643271091154781e-07,1,14.948699836869075,4866,2196,0.5454545454545454,0.0004090911463306911,30,46
