Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
36,0.6666666666666666,0,52,52,3,2,15.0,0,0,0,1,0,0.003492116928100586,0.0022907257080078125,2.5272369384765625e-05,0.0,0.0,0.00011301040649414062
37,0.6842105263157895,0,53,53,3,1,0.0,0,0,0,1,0,0.0036122798919677734,0.002377748489379883,2.5272369384765625e-05,0.0,0.0,0.00011610984802246094
38,0.6842105263157895,0,55,56,2,1,38.0,0,0,1,1,0,0.0038824081420898438,0.0024635791778564453,2.5272369384765625e-05,3.0040740966796875e-05,0.00012111663818359375,0.00011897087097167969
39,0.6842105263157895,0,57,58,2,1,0.0,0,0,0,2,0,0.004027128219604492,0.002573251724243164,2.5272369384765625e-05,3.0040740966796875e-05,0.00012111663818359375,0.0001220703125
40,0.7,0,58,59,2,1,0.0,0,0,0,1,0,0.0041561126708984375,0.0026671886444091797,2.5272369384765625e-05,3.0040740966796875e-05,0.00012111663818359375,0.000125885009765625
41,0.7,0,61,62,3,1,27.0,0,0,1,1,0,0.0044269561767578125,0.002777099609375,2.6226043701171875e-05,9.012222290039062e-05,0.00018405914306640625,0.00012993812561035156
42,0.7142857142857143,0,62,63,4,2,17.5,0,0,0,1,0,0.00458526611328125,0.0028929710388183594,2.7418136596679688e-05,9.012222290039062e-05,0.00018405914306640625,0.00013303756713867188
43,0.7272727272727273,0,63,64,2,1,0.0,0,0,0,1,0,0.004724979400634766,0.002997875213623047,2.8371810913085938e-05,9.012222290039062e-05,0.00018405914306640625,0.00013899803161621094
44,0.6956521739130435,0,64,65,4,1,0.0,0,0,0,1,0,0.004855155944824219,0.003093719482421875,2.956390380859375e-05,9.012222290039062e-05,0.00018405914306640625,0.0001430511474609375
45,0.7083333333333334,0,65,66,3,1,38.0,0,0,0,1,0,0.004996061325073242,0.0032045841217041016,3.0279159545898438e-05,9.012222290039062e-05,0.00018405914306640625,0.00014710426330566406
46,0.72,0,66,67,4,2,25.0,0,0,0,1,0,0.005134105682373047,0.0033044815063476562,3.0279159545898438e-05,9.012222290039062e-05,0.00018405914306640625,0.00015020370483398438
47,0.72,0,67,68,3,2,24.5,0,0,0,1,0,0.005274057388305664,0.003408670425415039,3.0279159545898438e-05,9.012222290039062e-05,0.00018405914306640625,0.0001533031463623047
48,0.7307692307692307,0,68,69,3,1,35.0,0,0,0,1,0,0.005419015884399414,0.003518819808959961,3.123283386230469e-05,9.012222290039062e-05,0.00018405914306640625,0.00015807151794433594
49,0.7307692307692307,0,68,69,5,3,20.666666666666668,0,0,0,0,0,0.005557060241699219,0.0036149024963378906,3.218650817871094e-05,9.012222290039062e-05,0.00018405914306640625,0.0001621246337890625
50,0.7307692307692307,0,70,72,3,1,43.0,0,0,1,1,0,0.00578618049621582,0.003718852996826172,3.218650817871094e-05,0.00012922286987304688,0.0002372264862060547,0.00016617774963378906
51,0.7307692307692307,0,71,73,4,2,34.0,0,0,0,1,0,0.005982160568237305,0.003822803497314453,3.218650817871094e-05,0.00012922286987304688,0.0002892017364501953,0.00016927719116210938
52,0.7037037037037037,0,72,74,2,1,0.0,0,0,0,1,0,0.0061223506927490234,0.0039288997650146484,3.218650817871094e-05,0.00012922286987304688,0.0002892017364501953,0.00017333030700683594
53,0.7037037037037037,0,73,75,4,2,38.333333333333336,0,0,0,1,0,0.0062673091888427734,0.00403594970703125,3.314018249511719e-05,0.00012922286987304688,0.0002892017364501953,0.0001761913299560547
54,0.7142857142857143,0,73,75,6,2,37.0,0,0,0,0,0,0.006395101547241211,0.004128217697143555,3.409385681152344e-05,0.00012922286987304688,0.0002892017364501953,0.00018024444580078125
55,0.7142857142857143,0,73,75,5,2,3.5,0,0,0,0,0,0.006528139114379883,0.004224300384521484,3.409385681152344e-05,0.00012922286987304688,0.0002892017364501953,0.00018334388732910156
56,0.7142857142857143,0,74,76,3,2,7.0,0,0,0,1,0,0.0066852569580078125,0.0043451786041259766,3.409385681152344e-05,0.00012922286987304688,0.0002892017364501953,0.00018739700317382812
57,0.7142857142857143,0,75,77,4,2,24.0,0,0,0,1,0,0.006844282150268555,0.004468202590942383,3.409385681152344e-05,0.00012922286987304688,0.0002892017364501953,0.00019121170043945312
58,0.7241379310344828,0,76,78,5,3,16.333333333333336,0,0,0,1,0,0.007006168365478516,0.004590272903442383,3.504753112792969e-05,0.00012922286987304688,0.0002892017364501953,0.00019502639770507812
59,0.7333333333333333,0,78,80,2,1,0.0,0,0,0,2,0,0.007152080535888672,0.004706144332885742,3.600120544433594e-05,0.00012922286987304688,0.0002892017364501953,0.00019788742065429688
60,0.7096774193548387,0,78,80,5,2,8.5,0,0,0,0,0,0.007292270660400391,0.0048062801361083984,3.719329833984375e-05,0.00012922286987304688,0.0002892017364501953,0.000202178955078125
61,0.7096774193548387,0,79,81,5,3,19.333333333333336,0,0,0,1,0,0.007447004318237305,0.004919290542602539,3.838539123535156e-05,0.00012922286987304688,0.0002892017364501953,0.00020503997802734375
62,0.7096774193548387,0,79,81,5,2,14.0,0,0,0,0,0,0.007584095001220703,0.005019187927246094,3.933906555175781e-05,0.00012922286987304688,0.0002892017364501953,0.00020813941955566406
63,0.7096774193548387,0,80,82,3,1,48.0,0,0,0,1,0,0.007790088653564453,0.005140066146850586,4.029273986816406e-05,0.00012922286987304688,0.00034117698669433594,0.00021123886108398438
64,0.7096774193548387,0,81,83,4,2,38.0,0,0,0,1,0,0.007946014404296875,0.0052602291107177734,4.124641418457031e-05,0.00012922286987304688,0.00034117698669433594,0.00021529197692871094
65,0.7096774193548387,0,82,84,2,1,65.0,0,0,0,1,0,0.008133172988891602,0.005367279052734375,4.124641418457031e-05,0.00012922286987304688,0.00038933753967285156,0.00021839141845703125
66,0.7096774193548387,0,85,87,4,3,25.333333333333336,0,1,1,1,0,0.008469104766845703,0.005495309829711914,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.0002224445343017578
67,0.7096774193548387,0,86,88,5,3,40.75,0,0,0,1,0,0.008645057678222656,0.005627155303955078,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.00022649765014648438
68,0.6875,0,87,89,2,1,0.0,0,0,0,1,0,0.008799314498901367,0.005750179290771484,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.00023031234741210938
69,0.696969696969697,0,87,89,7,3,54.75,0,0,0,0,0,0.008965253829956055,0.005872011184692383,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.0002334117889404297
70,0.6764705882352942,0,88,90,5,3,10.666666666666664,0,0,0,1,0,0.009136199951171875,0.006001949310302734,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.00023746490478515625
71,0.6571428571428571,0,89,91,4,1,0.0,0,0,0,1,0,0.009289979934692383,0.006124019622802734,4.124641418457031e-05,0.0001990795135498047,0.0004820823669433594,0.00024056434631347656
72,0.6666666666666666,0,89,91,5,2,35.0,0,0,0,0,0,0.009437322616577148,0.006234884262084961,4.220008850097656e-05,0.0001990795135498047,0.0004820823669433594,0.0002446174621582031
73,0.6486486486486487,0,90,92,5,3,25.666666666666664,0,0,0,1,0,0.009614229202270508,0.0063707828521728516,4.315376281738281e-05,0.0001990795135498047,0.0004820823669433594,0.0002474784851074219
74,0.6486486486486487,0,91,93,4,2,13.0,0,0,0,1,0,0.009786128997802734,0.00650787353515625,4.410743713378906e-05,0.0001990795135498047,0.0004820823669433594,0.0002503395080566406
75,0.6486486486486487,0,92,94,2,1,0.0,0,0,0,1,0,0.009936094284057617,0.006628990173339844,4.410743713378906e-05,0.0001990795135498047,0.0004820823669433594,0.00025343894958496094
76,0.6578947368421053,0,92,94,8,3,57.25,0,0,0,0,0,0.010107278823852539,0.006752967834472656,4.410743713378906e-05,0.0001990795135498047,0.0004820823669433594,0.0002582073211669922
77,0.6578947368421053,0,94,96,7,3,50.0,0,0,1,0,0,0.010396242141723633,0.006876945495605469,4.5299530029296875e-05,0.00026416778564453125,0.0005371570587158203,0.0002613067626953125
78,0.6410256410256411,0,95,97,2,1,64.0,0,0,0,1,0,0.010549068450927734,0.0069980621337890625,4.6253204345703125e-05,0.00026416778564453125,0.0005371570587158203,0.0002651214599609375
79,0.65,0,95,97,6,4,28.5,0,0,0,0,0,0.010717153549194336,0.007118940353393555,4.7206878662109375e-05,0.00026416778564453125,0.0005371570587158203,0.00026917457580566406
80,0.65,0,95,97,5,2,37.0,0,0,0,0,0,0.010962247848510742,0.0072460174560546875,4.839897155761719e-05,0.00026416778564453125,0.0006160736083984375,0.00027298927307128906
81,0.65,0,96,98,2,1,15.0,0,0,0,1,0,0.011130094528198242,0.007382869720458984,4.839897155761719e-05,0.00026416778564453125,0.0006160736083984375,0.00027680397033691406
82,0.65,0,99,101,4,3,43.333333333333336,0,1,1,1,0,0.011487245559692383,0.007520914077758789,4.9591064453125e-05,0.00034308433532714844,0.0007121562957763672,0.0002808570861816406
83,0.6341463414634146,0,100,102,4,2,32.5,0,0,0,1,0,0.01178431510925293,0.007756948471069336,4.9591064453125e-05,0.00034308433532714844,0.0007121562957763672,0.0002846717834472656
84,0.6190476190476191,0,100,102,6,5,39.8,0,0,0,0,0,0.012081146240234375,0.007982730865478516,4.9591064453125e-05,0.00034308433532714844,0.0007121562957763672,0.0002884864807128906
85,0.6190476190476191,0,100,102,8,7,36.42857142857143,0,0,0,0,0,0.012288093566894531,0.00811457633972168,4.9591064453125e-05,0.00034308433532714844,0.0007121562957763672,0.0002913475036621094
86,0.6190476190476191,0,101,103,5,3,26.666666666666664,0,0,0,1,0,0.012606382369995117,0.008258581161499023,4.9591064453125e-05,0.00034308433532714844,0.0007698535919189453,0.0002963542938232422
87,0.6046511627906976,0,102,104,5,2,38.5,0,0,0,1,0,0.012783050537109375,0.008397579193115234,5.030632019042969e-05,0.00034308433532714844,0.0007698535919189453,0.0003001689910888672
88,0.6136363636363636,0,102,104,5,3,67.5,0,0,0,0,0,0.012948989868164062,0.008521795272827148,5.125999450683594e-05,0.00034308433532714844,0.0007698535919189453,0.00030422210693359375
89,0.6222222222222222,0,102,104,5,4,26.0,0,0,0,0,0,0.013127326965332031,0.008655786514282227,5.125999450683594e-05,0.00034308433532714844,0.0007698535919189453,0.0003082752227783203
90,0.6222222222222222,0,102,104,7,3,31.0,0,0,0,0,0,0.013306140899658203,0.008790731430053711,5.221366882324219e-05,0.00034308433532714844,0.0007698535919189453,0.00031113624572753906
91,0.6086956521739131,0,103,105,5,3,19.33333333333333,0,0,0,1,0,0.013501167297363281,0.00894474983215332,5.221366882324219e-05,0.00034308433532714844,0.0007698535919189453,0.0003151893615722656
92,0.6170212765957447,0,103,105,5,3,52.0,0,0,0,0,0,0.01367807388305664,0.009080648422241211,5.221366882324219e-05,0.00034308433532714844,0.0007698535919189453,0.0003178119659423828
93,0.6041666666666666,0,104,106,4,1,93.0,0,0,0,1,0,0.01386117935180664,0.009232759475708008,5.221366882324219e-05,0.00034308433532714844,0.0007698535919189453,0.0003218650817871094
94,0.6041666666666666,0,106,109,2,1,43.0,0,0,1,1,0,0.014171123504638672,0.009370803833007812,5.316734313964844e-05,0.0004241466522216797,0.0008270740509033203,0.00032591819763183594
95,0.6041666666666666,0,106,109,6,2,31.5,0,0,0,0,0,0.014405250549316406,0.00951075553894043,5.435943603515625e-05,0.0004241466522216797,0.0008792877197265625,0.0003299713134765625
96,0.6041666666666666,0,107,110,4,1,90.0,0,0,0,1,0,0.014640092849731445,0.009663820266723633,5.53131103515625e-05,0.0004241466522216797,0.0009264945983886719,0.0003330707550048828
97,0.6041666666666666,0,109,113,3,2,59.0,0,0,1,1,0,0.014930248260498047,0.009801626205444336,5.53131103515625e-05,0.0004820823669433594,0.000980377197265625,0.0003368854522705078
98,0.6122448979591837,0,109,113,9,5,47.0,0,0,0,0,0,0.015127182006835938,0.009943485260009766,5.626678466796875e-05,0.0004820823669433594,0.000980377197265625,0.0003407001495361328
99,0.6,0,110,114,4,2,30.0,0,0,0,1,0,0.01531529426574707,0.010094165802001953,5.745887756347656e-05,0.0004820823669433594,0.000980377197265625,0.0003447532653808594
100,0.6,0,112,116,6,2,57.0,0,1,1,0,0,0.015677213668823242,0.010241031646728516,5.841255187988281e-05,0.0005779266357421875,0.0010581016540527344,0.0003485679626464844
101,0.6,0,113,117,5,3,33.66666666666667,0,0,0,1,0,0.01588296890258789,0.010404109954833984,5.936622619628906e-05,0.0005779266357421875,0.0010581016540527344,0.00035262107849121094
102,0.62,0,113,117,5,2,15.5,0,0,0,0,0,0.01606607437133789,0.010548830032348633,6.031990051269531e-05,0.0005779266357421875,0.0010581016540527344,0.00035572052001953125
103,0.62,0,114,118,2,1,0.0,0,0,0,1,0,0.01624131202697754,0.010693073272705078,6.031990051269531e-05,0.0005779266357421875,0.0010581016540527344,0.00035881996154785156
104,0.6,0,114,118,6,2,93.33333333333333,0,0,0,0,0,0.01642012596130371,0.010833024978637695,6.031990051269531e-05,0.0005779266357421875,0.0010581016540527344,0.00036454200744628906
105,0.6,0,114,118,7,3,58.333333333333336,0,0,0,0,0,0.016610145568847656,0.010980367660522461,6.031990051269531e-05,0.0005779266357421875,0.0010581016540527344,0.0003676414489746094
106,0.6,0,116,121,3,1,66.0,0,0,1,1,0,0.016938209533691406,0.01113438606262207,6.031990051269531e-05,0.0006608963012695312,0.0011141300201416016,0.0003707408905029297
107,0.6,0,117,122,5,4,30.0,0,0,0,1,0,0.017152070999145508,0.01129913330078125,6.031990051269531e-05,0.0006608963012695312,0.0011141300201416016,0.00037479400634765625
108,0.62,0,118,123,3,1,45.0,0,0,0,1,0,0.017343997955322266,0.011460065841674805,6.127357482910156e-05,0.0006608963012695312,0.0011141300201416016,0.0003788471221923828
109,0.62,0,120,125,8,3,99.75,0,0,1,0,0,0.01770329475402832,0.011601924896240234,6.127357482910156e-05,0.0007488727569580078,0.0011942386627197266,0.0003829002380371094
110,0.6,0,120,125,7,3,59.333333333333336,0,0,0,0,0,0.017899036407470703,0.011751890182495117,6.127357482910156e-05,0.0007488727569580078,0.0011942386627197266,0.0003867149353027344
111,0.62,0,120,125,8,5,36.2,0,0,0,0,0,0.018110275268554688,0.011909961700439453,6.127357482910156e-05,0.0007488727569580078,0.0011942386627197266,0.0003910064697265625
112,0.62,0,121,127,10,3,38.25,0,0,1,0,0,0.01849532127380371,0.012069940567016602,6.127357482910156e-05,0.0008449554443359375,0.0012731552124023438,0.0003948211669921875
113,0.62,0,122,128,4,2,31.5,0,0,0,1,0,0.018702030181884766,0.01223897933959961,6.246566772460938e-05,0.0008449554443359375,0.0012731552124023438,0.0003979206085205078
114,0.62,0,122,128,6,3,48.0,0,0,0,0,0,0.01889204978942871,0.012385129928588867,6.365776062011719e-05,0.0008449554443359375,0.0012731552124023438,0.0004019737243652344
115,0.62,0,122,128,6,4,42.0,0,0,0,0,0,0.019093036651611328,0.012540817260742188,6.365776062011719e-05,0.0008449554443359375,0.0012731552124023438,0.0004050731658935547
116,0.62,0,122,128,6,2,63.5,0,0,0,0,0,0.019284963607788086,0.012693643569946289,6.365776062011719e-05,0.0008449554443359375,0.0012731552124023438,0.000408172607421875
117,0.62,0,124,130,10,5,38.599999999999994,0,0,1,0,0,0.01966118812561035,0.012852668762207031,6.461143493652344e-05,0.0009410381317138672,0.0013370513916015625,0.0004124641418457031
118,0.62,0,124,130,11,4,68.8,0,0,0,0,0,0.019863128662109375,0.013001680374145508,6.580352783203125e-05,0.0009410381317138672,0.0013370513916015625,0.0004165172576904297
119,0.6,0,124,130,9,2,31.0,0,0,0,0,0,0.020054101943969727,0.013151407241821289,6.699562072753906e-05,0.0009410381317138672,0.0013370513916015625,0.00041961669921875
120,0.6,0,124,130,5,3,85.0,0,0,0,0,0,0.020246028900146484,0.013301372528076172,6.818771362304688e-05,0.0009410381317138672,0.0013370513916015625,0.0004227161407470703
121,0.6,0,124,130,6,2,59.5,0,0,0,0,0,0.02050924301147461,0.01352548599243164,6.914138793945312e-05,0.0009410381317138672,0.0013370513916015625,0.0004267692565917969
122,0.58,0,125,131,3,2,4.5,0,0,0,1,0,0.020737171173095703,0.0137176513671875,7.033348083496094e-05,0.0009410381317138672,0.0013370513916015625,0.0004305839538574219
123,0.58,0,126,133,7,3,93.4,0,0,1,0,0,0.021067142486572266,0.013877630233764648,7.033348083496094e-05,0.0010051727294921875,0.001394033432006836,0.00043463706970214844
124,0.6,0,126,133,6,2,69.0,0,0,0,0,0,0.021252155303955078,0.014023542404174805,7.104873657226562e-05,0.0010051727294921875,0.001394033432006836,0.00043773651123046875
125,0.62,0,126,133,6,4,57.0,0,0,0,0,0,0.021453142166137695,0.014177799224853516,7.200241088867188e-05,0.0010051727294921875,0.001394033432006836,0.0004417896270751953
126,0.64,0,126,133,5,4,46.8,0,0,0,0,0,0.02165818214416504,0.01433706283569336,7.271766662597656e-05,0.0010051727294921875,0.001394033432006836,0.0004448890686035156
127,0.64,0,128,136,5,3,59.2,0,0,1,1,0,0.022037029266357422,0.014518022537231445,7.367134094238281e-05,0.0010960102081298828,0.0014569759368896484,0.0004489421844482422
128,0.64,0,128,136,7,3,38.33333333333333,0,0,0,0,0,0.022234201431274414,0.014667987823486328,7.43865966796875e-05,0.0010960102081298828,0.0014569759368896484,0.0004532337188720703
129,0.64,0,131,139,4,2,61.5,0,1,1,1,0,0.022648096084594727,0.01483607292175293,7.43865966796875e-05,0.0012080669403076172,0.0015511512756347656,0.0004572868347167969
130,0.64,0,131,139,11,4,71.75,0,0,0,0,0,0.022879362106323242,0.015011072158813477,7.43865966796875e-05,0.0012080669403076172,0.0015511512756347656,0.000461578369140625
131,0.64,0,131,139,14,8,58.5,0,0,0,0,0,0.02318429946899414,0.01517796516418457,7.510185241699219e-05,0.0012080669403076172,0.001615285873413086,0.00046539306640625
132,0.64,0,131,139,8,3,48.66666666666667,0,0,0,0,0,0.02339315414428711,0.015339136123657227,7.605552673339844e-05,0.0012080669403076172,0.001615285873413086,0.00047016143798828125
133,0.64,0,131,139,5,2,69.0,0,0,0,0,0,0.023583173751831055,0.015491962432861328,7.724761962890625e-05,0.0012080669403076172,0.001615285873413086,0.0004742145538330078
134,0.64,0,131,139,6,4,68.0,0,0,0,0,0,0.02378535270690918,0.015646696090698242,7.724761962890625e-05,0.0012080669403076172,0.001615285873413086,0.0004773139953613281
135,0.62,0,131,139,7,4,97.6,0,0,0,0,0,0.023991107940673828,0.015804529190063477,7.724761962890625e-05,0.0012080669403076172,0.001615285873413086,0.0004811286926269531
136,0.62,0,131,139,10,3,59.33333333333333,0,0,0,0,0,0.02420210838317871,0.01597142219543457,7.724761962890625e-05,0.0012080669403076172,0.001615285873413086,0.0004851818084716797
137,0.62,0,131,139,5,1,74.0,0,0,0,0,0,0.024393320083618164,0.016130447387695312,7.724761962890625e-05,0.0012080669403076172,0.001615285873413086,0.00048828125
138,0.62,0,134,142,4,2,62.5,0,1,1,1,0,0.024814128875732422,0.016306400299072266,7.843971252441406e-05,0.0013060569763183594,0.0017201900482177734,0.0004913806915283203
139,0.62,0,135,143,4,1,0.0,0,0,0,1,0,0.02501511573791504,0.016474485397338867,7.939338684082031e-05,0.0013060569763183594,0.0017201900482177734,0.0004954338073730469
140,0.64,0,135,143,5,4,76.5,0,0,0,0,0,0.025226116180419922,0.01663827896118164,7.939338684082031e-05,0.0013060569763183594,0.0017201900482177734,0.0004985332489013672
141,0.64,0,135,143,7,4,65.5,0,0,0,0,0,0.025428295135498047,0.016793251037597656,7.939338684082031e-05,0.0013060569763183594,0.0017201900482177734,0.0005025863647460938
142,0.64,0,137,145,8,5,64.0,0,1,1,0,0,0.02582406997680664,0.016953229904174805,7.939338684082031e-05,0.001405954360961914,0.0017993450164794922,0.0005056858062744141
143,0.62,0,137,145,11,5,82.0,0,0,0,0,0,0.02612924575805664,0.017185211181640625,8.034706115722656e-05,0.001405954360961914,0.0017993450164794922,0.0005097389221191406
